Miasta,Województwo,Powiaty i miasta na prawach powiatu,Area in km²,Population,Search
Łęczna,lubelskie,Łęczyński,19,17665,leczna
Kostrzyn nad Odrą,lubuskie,Gorzowski,46,17591,kostrzyn%20nad%20odra
Końskie,świętokrzyskie,Konecki,18,17384,konskie
Krasnystaw,lubelskie,Krasnostawski,42,17366,krasnystaw
Chodzież,wielkopolskie,Chodzieski,13,17321,chodziez
Garwolin,mazowieckie,Garwoliński,22,17268,garwolin
Oborniki,wielkopolskie,Obornicki,14,17238,oborniki
Pyskowice,śląskie,Gliwicki,31,17236,pyskowice
Wadowice,małopolskie,Wadowicki,11,17196,wadowice
Kamienna Góra,dolnośląskie,Kamiennogórski,18,17110,kamienna%20gora
Sokółka,podlaskie,Sokólski,19,17087,sokolka
Nakło nad Notecią,kujawsko-pomorskie,Nakielski,11,17002,naklo%20nad%20notecia
Gostynin,mazowieckie,Gostyniński,32,16986,gostynin
Strzelce Opolskie,opolskie,Strzelecki,30,16975,strzelce%20opolskie
Sierpc,mazowieckie,Sierpecki,18,16941,sierpc
Konstancin-Jeziorna,mazowieckie,Piaseczyński,18,16894,konstancin-jeziorna
Międzyrzecz,lubuskie,Międzyrzecki,14,16832,miedzyrzecz
Radlin,śląskie,Wodzisławski,13,16829,radlin
Namysłów,opolskie,Namysłowski,23,16818,namyslow
Grójec,mazowieckie,Grójecki,8,16807,grojec
Niepołomice,małopolskie,Wielicki,27,16805,niepolomice
Pleszew,wielkopolskie,Pleszewski,13,16610,pleszew
Milanówek,mazowieckie,Grodziski,13,16424,milanowek
Trzcianka,wielkopolskie,Czarnkowsko-trzcianecki,18,16422,trzcianka
Przasnysz,mazowieckie,Przasnyski,25,16357,przasnysz
Bytów,pomorskie,Bytowski,9,16339,bytow
Lędziny,śląskie,Bieruńsko-lędziński,32,16333,ledziny
Słubice,lubuskie,Słubicki,19,16255,slubice
Pionki,mazowieckie,Radomski,18,16089,pionki
Łask,łódzkie,Łaski,15,16058,lask
Radzionków,śląskie,Tarnogórski,13,16034,radzionkow
Bogatynia,dolnośląskie,Zgorzelecki,60,16020,bogatynia
Braniewo,warmińsko-mazurskie,Braniewski,12,16015,braniewo
Rawa Mazowiecka,łódzkie,Rawski,14,15941,rawa%20mazowiecka
Hrubieszów,lubelskie,Hrubieszowski,33,15935,hrubieszow
Brzesko,małopolskie,Brzeski,12,15928,brzesko
Libiąż,małopolskie,Chrzanowski,36,15912,libiaz
Ustroń,śląskie,Cieszyński,59,15853,ustron
Ropczyce,podkarpackie,Ropczycko-sędziszowski,47,15794,ropczyce
Olecko,warmińsko-mazurskie,Olecki,12,15721,olecko
Nowogard,zachodniopomorskie,Goleniowski,13,15695,nowogard
Ożarów Mazowiecki,mazowieckie,Warszawski zachodni,8,15623,ozarow%20mazowiecki
Gubin,lubuskie,Krośnieński,21,15606,gubin
